	mHsm	mH1	mH2	mH3	mHp	R11	R12	R13	R21	R22	R23	R31	R32	R33	L1	L2	L3	L4	L5	L6	L7	L8	Tr	Ti	m11sq	m22sq	mssq	v	a1	a2	a3	dm11s	dm22s	dmSs	dReA	dImA	dL1	dL2	dL3	dL4	dL5	dL6	dL7	dL8	dT1	dT2	dTCP	dTCB	dTS	dImL5	status_nlo_stability	status_ewsr	status_tracing	Temp_0	omega_1(Temp_0)	Veff(Temp_0)	Temp_1	omega_1(Temp_1)	Veff(Temp_1)	runtime
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	177.3524090940056	0.3435259985894015	1.388573457182776e+18	0	246.2104486772228	1.388573607254371e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	177.3525500697015	0.8926393723695274	1.38857345718241e+18	0.001675	246.2104486772228	1.388573607254371e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	177.3589581249285	0.6653641961273564	1.388573457165745e+18	0.01825750000000001	246.1874905060997	1.38857360725437e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	177.3689417366519	0.7432631168589672	1.388573457139778e+18	0.03318175000000001	246.2152678717102	1.38857360725437e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	177.459068149549	1.194634901910226	1.388573456905231e+18	0.1675	246.2215082804967	1.388573607254371e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	178.1804485155712	0.7944301545817507	1.38857345501889e+18	0.335	246.2270263470114	1.38857360725437e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	179.1804485155712	0.1013145340984047	1.388573452377428e+18	0.5024999999999999	246.2364440263407	1.388573607254367e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	180.1804485155712	0.065433299371807	1.388573449704933e+18	0.5109202303950999	246.2373999352847	1.388573607254367e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	180.3438137502493	0.931016677235438	1.388573449265377e+18	0.5268282073555899	246.2224773694256	1.388573607254367e+18	21.064
2	125.09000000000000000000000000000000000000000000000000	14750.78717561537000000000000000000000000000000000000000	68830.54234166394000000000000000000000000000000000000000	68830.77575475207000000000000000000000000000000000000000	68830.52144406470000000000000000000000000000000000000000	0.00001548566481800031000000000000000000000000000000	0.00000448575953293159400000000000000000000000000000	0.99999999987003600000000000000000000000000000000000	-0.00000977175721178152000000000000000000000000000000	0.99999999994219600000000000000000000000000000000000	-0.00000448560821109841400000000000000000000000000000	-0.99999999983235300000000000000000000000000000000000	-0.00000977168774729531000000000000000000000000000000	0.00001548570865085827000000000000000000000000000000	0.25810698810286970000000000000000000000000000000000	4.60837502492233852535719051957130432128906250000000	4.20128375089540639919505338184535503387451171875000	0.62490560180286536251514917239546775817871093750000	0.53000294700131433955903048627078533172607421875000	2.44412578369708199943488580174744129180908203125000	8.78898583900176788574754027649760246276855468750000	3.90405529998198375096762902103364467620849609375000	284.28518182465973040962126106023788452148437500000000	82.34879899887050669349264353513717651367187500000000	-7823.75405000000000000000000000000000000000000000000000	4737513332.70419979095458984375000000000000000000000000000000	217319311.22476118803024291992187500000000000000000000000000	246.21965079413740000000000000000000000000000000000000	0.28195460204875690000000000000000000000000000000000	1.57078020451661400000000000000000000000000000000000	-0.28194483032634960000000000000000000000000000000000	-2823886976.536754	-4277624813.682806	-2441481493.221537	-317.0411322020038	-74.81209152357172	-4.96438427513274	0	0	-1.008481412909488	-0.880474749192322	0	0	0	-0	-6.670443457950498e-05	-0	-0	-0	-5.563193273899103e-06	success	ew_sym_res	no_coverage	180.3974746270044	0.065433299371807	1.388573449120813e+18	0.6699999999999999	246.2086659923426	1.388573607254363e+18	21.064
