omega_1	Veff(v,T)	T
100.175	1.388573484798746e+18	165.989
100.2	1.388573484798747e+18	165.989
100.225	1.388573484798747e+18	165.989
100.25	1.388573484798746e+18	165.989
100.275	1.388573484798747e+18	165.989
100.3	1.388573484798747e+18	165.989
100.325	1.388573484798747e+18	165.989
100.35	1.388573484798747e+18	165.989
100.375	1.388573484798746e+18	165.989
100.4	1.388573484798747e+18	165.989
100.425	1.388573484798747e+18	165.989
100.45	1.388573484798747e+18	165.989
100.475	1.388573484798747e+18	165.989
100.5	1.388573484798747e+18	165.989
100.525	1.388573484798747e+18	165.989
100.55	1.388573484798747e+18	165.989
100.575	1.388573484798747e+18	165.989
100.6	1.388573484798748e+18	165.989
100.625	1.388573484798748e+18	165.989
100.65	1.388573484798748e+18	165.989
100.675	1.388573484798748e+18	165.989
100.7	1.388573484798748e+18	165.989
100.725	1.388573484798748e+18	165.989
100.75	1.388573484798748e+18	165.989
100.775	1.388573484798748e+18	165.989
100.8	1.388573484798748e+18	165.989
100.825	1.388573484798748e+18	165.989
100.85	1.388573484798749e+18	165.989
100.875	1.388573484798748e+18	165.989
100.9	1.388573484798748e+18	165.989
100.925	1.388573484798749e+18	165.989
100.95	1.388573484798748e+18	165.989
100.975	1.388573484798749e+18	165.989
101	1.388573484798748e+18	165.989
101.025	1.388573484798749e+18	165.989
101.05	1.388573484798749e+18	165.989
101.075	1.38857348479875e+18	165.989
101.1	1.388573484798749e+18	165.989
101.125	1.38857348479875e+18	165.989
101.15	1.38857348479875e+18	165.989
101.175	1.38857348479875e+18	165.989
101.2	1.388573484798749e+18	165.989
101.225	1.388573484798749e+18	165.989
101.25	1.38857348479875e+18	165.989
101.275	1.38857348479875e+18	165.989
101.3	1.38857348479875e+18	165.989
101.325	1.388573484798749e+18	165.989
101.35	1.38857348479875e+18	165.989
101.375	1.38857348479875e+18	165.989
101.4	1.38857348479875e+18	165.989
101.425	1.38857348479875e+18	165.989
101.45	1.388573484798751e+18	165.989
101.475	1.38857348479875e+18	165.989
101.5	1.38857348479875e+18	165.989
