-3.007307939429532e6	85776.88101298596
-3.007302560829281e6	86023.2367
-3.007297182229031e6	86258.9956
-3.00729180362878e6	86487.9347
-3.00728642502853e6	86711.4018
-3.007281046428279e6	86930.1758
-3.007275667828029e6	87144.7824
-3.007270289227778e6	87355.60735
-3.007264910627528e6	87562.94974
-3.007259532027277e6	87767.05011
-3.007254153427027e6	87968.10746
-3.00724851215771e6	88175.89744
-3.007242281002138e6	88401.93863
-3.007235398673085e6	88647.58388
-3.007227797602853e6	88914.24076
-3.007219403318885e6	89203.36419
-3.007210133761551e6	89516.44638
-3.007199898539728e6	89855.00373
-3.007188598119653e6	90220.55998
-3.007176122942522e6	90614.62487
-3.007162352466304e6	91038.66782
-3.007147154127415e6	91494.0855
-3.007130382218149e6	91982.16252
-3.007111876676248e6	92504.02415
-3.007091461783632e6	93060.57995
-3.007068944772271e6	93652.457
-3.007044114336453e6	94279.92159
-3.00701673905236e6	94942.78777
-3.006986565708051e6	95640.31161
-3.006953317549654e6	96371.06955
-3.006916692453022e6	97132.81979
-3.006876361034314e6	97922.34525
-3.006831964718128e6	98735.277585
-3.006783113788013e6	99565.901471
-3.006729385451616e6	100406.939427
-3.006670321961461e6	101249.317983
-3.006605428842539e6	102081.917131
-3.006534173289633e6	102891.306284
-3.006455982810581e6	103661.471694
-3.006370244206532e6	104373.542284
-3.0062763029965e6	105005.523363
-3.006173463410868e6	105532.050561
-3.006060989096548e6	105924.179623
-3.005938104694482e6	106149.231332
-3.00580399846715e6	106170.714688
-3.00565782616835e6	105948.355346
-3.005498716358079e6	105438.259898
-3.005325777369664e6	104593.249529
-3.005138106131928e6	103363.398267
-3.004934799033108e6	101696.810882
-3.00471496498241e6	99540.672702
-3.004477740776225e6	96842.597379
-3.004222308806184e6	93552.288065
-3.003947917053107e6	89623.512003
-3.003653901193345e6	85016.367596
-3.003339708502735e6	79699.79683
-3.003004923081481e6	73654.265024
-3.002649291746927e6	66874.496087
-3.002272749760123e6	59372.1171938
-3.001875445379607e6	51178.0358058
-3.001457762088613e6	42344.3488166
-3.001020337239023e6	32945.5731697
-3.000564075816501e6	23078.9946079
-3.000090158074718e6	12863.9600218
-2.999600039926155e6	2439.991134
-2.999095445219354e6	-8036.3279816
-2.998578349374264e6	-18395.6442062
-2.998050954273713e6	-28461.1612526
-2.997515654793126e6	-38054.7478354
-2.996974997855417e6	-47003.489389
-2.996431635379531e6	-55146.2821033
-2.995888272903646e6	-62340.0416051
-2.995347615965937e6	-68465.1139343
-2.99481231648535e6	-73429.5335862
-2.994284921384799e6	-77171.8664015
-2.993767825539709e6	-79662.4928971
-2.993263230832908e6	-80903.3158487
-2.992773112684345e6	-80925.9992308
-2.992299194942561e6	-79788.9502552
-2.99184293352004e6	-77573.3320832
-2.99140550867045e6	-74378.436492
-2.990987825379456e6	-70316.7530613
-2.99059052099894e6	-65509.0483736
-2.990213979012136e6	-60079.7224414
-2.989858347677582e6	-54152.6487351
-2.989523562256328e6	-47847.637485
-2.989209369565718e6	-41277.5969126
-2.988915353705956e6	-34546.4094078
-2.988640961952879e6	-27747.4929747
-2.988385529982838e6	-20962.9840626
-2.988148305776653e6	-14263.456062
-2.987928471725955e6	-7708.0769634
-2.987725164627135e6	-1345.1079485
-2.987537493389399e6	4787.3502854
-2.987364554400984e6	10660.4470902
-2.987205444590712e6	16253.5788065
-2.987059272291913e6	21553.351443
-2.986925166064581e6	26552.5545475
-2.986802281662515e6	31249.1798209
-2.986689807348194e6	35645.5075946
-2.986586967762563e6	39747.2755613
-2.986493026552531e6	43562.9371264
-2.986407287948482e6	47103.0113349
-2.98632909746943e6	50379.5223457
-2.986257841916524e6	53405.5236592
-2.986192948797602e6	56194.7005237
-2.986133885307447e6	58761.0429585
-2.98608015697105e6	61118.5814232
-2.986031306040935e6	63281.1772012
-2.985986909724749e6	65262.3598908
-2.985946578306041e6	67075.2049217
-2.985909953209408e6	68732.2446533
-2.985876705051012e6	70245.4072912
-2.985846531706703e6	71625.9785575
-2.98581915642261e6	72884.5817156
-2.985794325986791e6	74031.1721796
-2.985771808975431e6	75075.0435132
-2.985751394082815e6	76024.8421366
-2.985732888540914e6	76888.5885132
-2.985716116631648e6	77673.7029893
-2.985700918292759e6	78387.0347956
-2.985687147816541e6	79034.8930145
-2.98567467263941e6	79623.078562
-2.985663372219335e6	80156.9164392
-2.985653136997511e6	80641.2876791
-2.985643867440178e6	81080.660556
-2.98563547315621e6	81479.1207401
-2.985627872085978e6	81840.400171
-2.985620989756925e6	82167.9045025
-2.985614758601353e6	82464.739026
-2.985609117332036e6	82733.7330304
-2.985603130243677e6	83019.4871231
-2.985597145871782e6	83305.3897962
-2.985591164216352e6	83591.4407396
-2.985585185277386e6	83877.6396435
-2.985579209054886e6	84163.9861978
-2.98557323554885e6	84450.4800927
-2.985567264759279e6	84737.1210179
-2.985561296686172e6	85023.9086635
-2.985555331329531e6	85310.84271931803
-2.98554997225233e6	85555.8592
-2.98554461317513e6	85790.3367
-2.985539254097929e6	86018.0314
-2.985533895020729e6	86240.2838
-2.985528535943528e6	86457.8687
-2.985523176866327e6	86671.3088
-2.985517817789127e6	86880.98792
-2.985512458711926e6	87087.20338
-2.985507099634725e6	87290.19445
-2.985501740557525e6	87490.15906
-2.985496119764684e6	87696.81972
-2.985489911226737e6	87921.6324
-2.985483053878915e6	88165.94262
-2.985475480398775e6	88431.15031
-2.985467116584077e6	88718.70245
-2.985457880673049e6	89030.08319
-2.985447682602666e6	89366.80068
-2.98543642320045e6	89730.37038
-2.985423993305269e6	90122.29385
-2.985410272812631e6	90544.03252
-2.985395129640126e6	90996.97549
-2.985378418608933e6	91482.40041
-2.985359980237784e6	92001.42646
-2.985339639446411e6	92554.95826
-2.985317204166489e6	93143.61953
-2.985292463859294e6	93767.67512
-2.985265187941024e6	94426.94014
-2.985235124118836e6	95120.67474
-2.98520199664341e6	95847.46316
-2.985165504487237e6	96605.07581
-2.985125319462064e6	97390.313158
-2.985081084294031e6	98198.830674
-2.985032410681266e6	99024.944169
-2.984978877366054e6	99861.415796
-2.984920028262433e6	100699.221493
-2.984855370690222e6	101527.301788
-2.984784373778162e6	102332.299204
-2.9847064671121e6	103098.287146
