-3.018213852292736e6	-55587.21322695013
-3.01820846393096e6	-55663.3323879
-3.018203075569185e6	-55739.358093
-3.018197687207409e6	-55815.2902515
-3.018192298845634e6	-55891.1287724
-3.018186910483858e6	-55966.8735648
-3.018181522122083e6	-56042.524538
-3.018176133760307e6	-56118.0816012
-3.018170745398532e6	-56193.5446636
-3.018165357036756e6	-56268.9136346
-3.018159968674981e6	-56344.1884236
-3.018154317167425e6	-56423.0380361
-3.018148074703041e6	-56510.0119913
-3.018141179883373e6	-56605.9276028
-3.018133565018096e6	-56711.679971
-3.018125155499492e6	-56828.2483714
-3.018115869119006e6	-56956.702926
-3.018105615321462e6	-57098.2114999
-3.018094294392457e6	-57254.0467474
-3.018081796574352e6	-57425.5931979
-3.018068001106344e6	-57614.3542367
-3.018052775184263e6	-57821.9587882
-3.01803597283596e6	-58050.1674528
-3.018017433708684e6	-58300.8777757
-3.017996981765446e6	-58576.1282402
-3.017974423888366e6	-58878.1004713
-3.017949548388235e6	-59209.1190057
-3.017922123421231e6	-59571.6478276
-3.017891895315862e6	-59968.2826827
-3.01785858681598e6	-60401.7379547
-3.017821895249118e6	-60874.8266248
-3.017781490633643e6	-61390.4315126
-3.01773701374338e6	-61951.4656306
-3.01768807415459e6	-62560.819049
-3.0176342483076e6	-63221.2891729
-3.017575077624178e6	-63935.4907708
-3.017510066731901e6	-64705.7414618
-3.017438681858572e6	-65533.9176795
-3.017360349473024e6	-66421.2753934
-3.017274455263523e6	-67368.2291059
-3.017180343561277e6	-68374.0819024
-3.017077317333929e6	-69436.6986587
-3.016964638891997e6	-70552.1140009
-3.016841531469238e6	-71714.0663727
-3.016707181854923e6	-72913.4497517
-3.016560744270645e6	-74137.6753645
-3.016401345694838e6	-75369.9374168
-3.01622809284256e6	-76588.3796721
-3.016040081003666e6	-77765.1639915
-3.015836404926445e6	-78865.4480352
-3.015616171902878e6	-79846.2875293
-3.015378517162744e6	-80655.4890717
-3.01512262161381e6	-81230.452483
-3.01484773187207e6	-81497.0570557
-3.014553182408207e6	-81368.663217
