omega_{CB}	omega_1	omega_2	omega_{CP}	omega_S	Veff(v,T)	dVeff(v,T)_w0	dVeff(v,T)_w1	dVeff(v,T)_w2	dVeff(v,T)_w3	dVeff(v,T)_w4	dVeff(v,T)o6_w0	dVeff(v,T)o6_w1	dVeff(v,T)o6_w2	dVeff(v,T)o6_w3	dVeff(v,T)o6_w4	dVeff(v,T)o8_w0	dVeff(v,T)o8_w1	dVeff(v,T)o8_w2	dVeff(v,T)o8_w3	dVeff(v,T)o8_w4	d2Veff(v,T)_w0_w0	d2Veff(v,T)_w0_w1	d2Veff(v,T)_w0_w2	d2Veff(v,T)_w0_w3	d2Veff(v,T)_w0_w4	d2Veff(v,T)_w1_w0	d2Veff(v,T)_w1_w1	d2Veff(v,T)_w1_w2	d2Veff(v,T)_w1_w3	d2Veff(v,T)_w1_w4	d2Veff(v,T)_w2_w0	d2Veff(v,T)_w2_w1	d2Veff(v,T)_w2_w2	d2Veff(v,T)_w2_w3	d2Veff(v,T)_w2_w4	d2Veff(v,T)_w3_w0	d2Veff(v,T)_w3_w1	d2Veff(v,T)_w3_w2	d2Veff(v,T)_w3_w3	d2Veff(v,T)_w3_w4	d2Veff(v,T)_w4_w0	d2Veff(v,T)_w4_w1	d2Veff(v,T)_w4_w2	d2Veff(v,T)_w4_w3	d2Veff(v,T)_w4_w4	T
0	0	0	0	0	189052405441054.1	-0.07812499999999999	0.02604166666666666	-0.07812499999999999	-0.05208333333333333	-0.05208333333333333	-0.5729166666666667	0.1041666666666667	-0.5729166666666667	-0.15625	0.4166666666666667	-0.1339285714285714	-0.3571428571428572	-0.1339285714285714	0.3422619047619048	-0.7738095238095237	69762192.18749999	0	0	0	0	0	-8726.562499999998	0	0	0	0	0	69762192.18749999	0	0	0	0	0	69762193.74999999	0	0	0	0	0	46205068.74999999	0
0	2.5	0	0	0	189052405413788.4	-0.07812499999999999	-21809.609375	0.02604166666666666	0.02604166666666666	-0.07812499999999999	0.5729166666666667	-19636.30208333334	0.05208333333333334	-0.3645833333333334	0.05208333333333334	1.071428571428571	-17454.33035714286	0.2976190476190476	-0.2083333333333333	0.6845238095238095	69762235.93749999	0	0	0	0	0	-8722.656249999998	0	0	0	0	0	69762242.18749999	1.5625	3.125	0	0	1.5625	69762217.18749999	1.5625	0	0	3.125	1.5625	46205048.43749999	0
0	5	0	0	0	189052405332024.6	0.02604166666666666	-43594.99999999999	0.07812499999999999	-0.02604166666666666	-0.1041666666666667	-0.8854166666666667	-39237.23958333334	1.041666666666667	0.1041666666666667	0.15625	0.119047619047619	-34878.00595238095	-0.1785714285714286	-0.431547619047619	-0.9970238095238095	69762335.93749999	0	0	0	0	0	-8703.906249999998	0	0	0	0	0	69762389.06249999	-4.687499999999999	-7.812499999999998	0	0	-4.687499999999999	69762307.81249999	0	0	0	-7.812499999999998	0	46204990.62499999	0
0	7.5	0	0	0	189052405195853.7	0.07812499999999999	-65331.84895833332	0.1041666666666667	0	-0.05208333333333333	-0.46875	-58788.75	0.78125	0.4166666666666667	-0.15625	1.175595238095238	-52255.40178571428	-1.116071428571429	0.2529761904761905	0.5654761904761905	69762495.31249999	0	0	0	0	0	-8682.031249999998	0	0	0	0	0	69762634.37499999	-6.249999999999999	12.5	0	0	-6.249999999999999	69762440.62499999	-4.687499999999999	0	0	12.5	-4.687499999999999	46204899.99999999	0
0	10	0	0	0	189052405005418.2	0.02604166666666666	-87003.04687499999	0.1041666666666667	-0.07812499999999999	-0.05208333333333333	0.7291666666666667	-78304.58333333334	-0.78125	-0.15625	0.15625	-0.02976190476190476	-69605.28273809524	-0.02976190476190476	-0.7440476190476191	-0.05952380952380952	69762715.62499999	0	0	0	0	0	-8650.781249999998	0	0	0	0	0	69762970.31249999	-1.5625	-6.249999999999999	0	0	-1.5625	69762634.37499999	-9.374999999999998	0	0	-6.249999999999999	-9.374999999999998	46204760.93749999	0
0	12.5	0	0	0	189052404760908.3	0	-108589.0885416667	0.02604166666666666	0	0.02604166666666666	-0.8333333333333334	-97728.95833333334	-0.46875	-0.7291666666666667	-0.1041666666666667	0.625	-86870.47619047618	-0.2232142857142857	-1.145833333333333	0.4464285714285714	69762995.31249999	0	0	0	0	0	-8616.406249999998	0	0	0	0	0	69763409.37499999	0	-4.687499999999999	0	0	0	69762882.81249999	-6.249999999999999	0	0	-4.687499999999999	-6.249999999999999	46204584.37499999	0
0	15	0	0	0	189052404462558.9	0	-130072.2135416666	-0.02604166666666666	0.1041666666666667	-0.1041666666666667	-1.041666666666667	-117064.1145833333	-0.15625	0.1041666666666667	-0.2083333333333333	0.3422619047619048	-104057.8125	-1.101190476190476	-0.5059523809523809	0.05952380952380952	69763354.68749999	0	0	0	0	0	-8571.093749999998	0	0	0	0	0	69763940.62499999	4.687499999999999	-15.625	0	0	4.687499999999999	69763185.93749999	-4.687499999999999	0	0	-15.625	-4.687499999999999	46204373.43749999	0
0	17.5	0	0	0	189052404110648.5	0.02604166666666666	-151434.4270833333	0.05208333333333333	-0.1041666666666667	0.02604166666666666	0.4166666666666667	-136296.9270833333	-0.7291666666666667	-0.3125	-0.78125	1.19047619047619	-121154.7321428571	-0.9226190476190476	0.2976190476190476	0.08928571428571429	69763765.62499999	0	0	0	0	0	-8523.437499999998	0	0	0	0	0	69764579.68749999	-3.125	-10.9375	0	0	-3.125	69763532.81249999	3.125	0	0	-10.9375	3.125	46204128.12499999	0
0	20	0	0	0	189052403705497.2	-0.05208333333333333	-172662.0833333333	0.02604166666666666	0	0.07812499999999999	0.2083333333333333	-155389.9479166667	0.5208333333333334	1.041666666666667	-0.5208333333333334	-0.1636904761904762	-138124.3005952381	-0.1934523809523809	0.5952380952380952	-0.1785714285714286	69764249.99999999	0	0	0	0	0	-8463.281249999998	0	0	0	0	0	69765304.68749999	-6.249999999999999	-18.75	0	0	-6.249999999999999	69763953.12499999	4.687499999999999	0	0	-18.75	4.687499999999999	46203845.31249999	0
0	22.5	0	0	0	189052403247465.9	-0.02604166666666666	-193736.3541666666	-0.07812499999999999	-0.05208333333333333	0.07812499999999999	-0.5208333333333334	-174355.3645833333	-0.2083333333333333	0.05208333333333334	0.46875	-1.220238095238095	-154983.2589285714	1.25	-0.1488095238095238	0.1785714285714286	69764792.18749999	0	0	0	0	0	-8396.874999999998	0	0	0	0	0	69766126.56249999	4.687499999999999	-21.875	0	0	4.687499999999999	69764415.62499999	7.812499999999998	0	0	-21.875	7.812499999999998	46203523.43749999	0
