omega_{CB}	omega_1	omega_2	omega_{CP}	omega_S	Veff(v,T)	dVeff(v,T)_w0	dVeff(v,T)_w1	dVeff(v,T)_w2	dVeff(v,T)_w3	dVeff(v,T)_w4	dVeff(v,T)o6_w0	dVeff(v,T)o6_w1	dVeff(v,T)o6_w2	dVeff(v,T)o6_w3	dVeff(v,T)o6_w4	dVeff(v,T)o8_w0	dVeff(v,T)o8_w1	dVeff(v,T)o8_w2	dVeff(v,T)o8_w3	dVeff(v,T)o8_w4	d2Veff(v,T)_w0_w0	d2Veff(v,T)_w0_w1	d2Veff(v,T)_w0_w2	d2Veff(v,T)_w0_w3	d2Veff(v,T)_w0_w4	d2Veff(v,T)_w1_w0	d2Veff(v,T)_w1_w1	d2Veff(v,T)_w1_w2	d2Veff(v,T)_w1_w3	d2Veff(v,T)_w1_w4	d2Veff(v,T)_w2_w0	d2Veff(v,T)_w2_w1	d2Veff(v,T)_w2_w2	d2Veff(v,T)_w2_w3	d2Veff(v,T)_w2_w4	d2Veff(v,T)_w3_w0	d2Veff(v,T)_w3_w1	d2Veff(v,T)_w3_w2	d2Veff(v,T)_w3_w3	d2Veff(v,T)_w3_w4	d2Veff(v,T)_w4_w0	d2Veff(v,T)_w4_w1	d2Veff(v,T)_w4_w2	d2Veff(v,T)_w4_w3	d2Veff(v,T)_w4_w4	T
0	0	0	0	0	189013894452541	0.05208333333333333	0.07812499999999999	0.05208333333333333	0.05208333333333333	0.05208333333333333	0.15625	0.3645833333333334	0.15625	0.15625	-0.3125	0.3273809523809524	0.9821428571428571	0.3273809523809524	0.3125	-0.2976190476190476	69759364.06249999	0	0	0	0	0	2590.625	0	0	0	0	0	69759364.06249999	0	0	0	0	0	69759364.06249999	0	0	0	0	0	46203739.06249999	200
0	2.5	0	0	0	189013894460607.4	0.05208333333333333	6446.302083333332	0.07812499999999999	-0.1041666666666667	-0.05208333333333333	-0.9895833333333334	5792.083333333334	0.2083333333333333	0.9895833333333334	-0.9895833333333334	0.0744047619047619	5148.630952380952	-0.5803571428571428	0.7142857142857143	-0.08928571428571429	69759396.87499999	0	0	0	0	0	2568.75	0	0	0	0	0	69759398.43749999	0	3.125	0	0	0	69759374.99999999	1.5625	0	0	3.125	1.5625	46203715.62499999	200
0	5	0	0	0	189013894484738.2	0.05208333333333333	12853.125	0.02604166666666666	-0.1041666666666667	-0.05208333333333333	0.5208333333333334	11565.98958333333	0	-0.5208333333333334	0.4166666666666667	-0.2827380952380952	10279.19642857143	0.9672619047619048	1.175595238095238	0.7738095238095237	69759493.74999999	0	0	0	0	0	2560.9375	0	0	0	0	0	69759542.18749999	-4.687499999999999	-7.812499999999998	0	0	-4.687499999999999	69759459.37499999	0	0	0	-7.812499999999998	0	46203662.49999999	200
0	7.5	0	0	0	189013894524850.2	0.07812499999999999	19232.734375	-0.02604166666666666	0.07812499999999999	0.02604166666666666	-0.05208333333333334	17313.28125	0.4166666666666667	0.8854166666666667	0.8333333333333334	-0.9523809523809523	15391.10119047619	-0.2827380952380952	0.1488095238095238	-1.19047619047619	69759645.31249999	0	0	0	0	0	2549.21875	0	0	0	0	0	69759776.56249999	-6.249999999999999	14.0625	0	0	-6.249999999999999	69759582.81249999	-4.687499999999999	0	0	14.0625	-4.687499999999999	46203567.18749999	200
0	10	0	0	0	189013894580883.8	-0.02604166666666666	25592.05729166666	-0.1041666666666667	0.07812499999999999	-0.07812499999999999	-1.041666666666667	23031.19791666667	0.8333333333333334	-0.2083333333333333	0.5729166666666667	-0.08928571428571429	20471.29464285714	0	1.19047619047619	-0.3571428571428572	69759859.37499999	0	0	0	0	0	2544.53125	0	0	0	0	0	69760104.68749999	-1.5625	-6.249999999999999	0	0	-1.5625	69759765.62499999	-12.5	0	0	-6.249999999999999	-12.5	46203431.24999999	200
0	12.5	0	0	0	189013894652804.1	0	31942.55208333333	0	-0.05208333333333333	-0.05208333333333333	-0.78125	28750.67708333334	-0.3125	-0.5729166666666667	-0.3645833333333334	0.2529761904761905	25556.22023809524	1.056547619047619	1.101190476190476	-0.625	69760131.24999999	0	0	0	0	0	2537.5	0	0	0	0	0	69760531.24999999	-1.5625	-9.374999999999998	0	0	-1.5625	69760003.12499999	-4.687499999999999	0	0	-9.374999999999998	-4.687499999999999	46203253.12499999	200
0	15	0	0	0	189013894740599.7	-0.1041666666666667	38293.67187499999	0.02604166666666666	0.1041666666666667	0.02604166666666666	0.6770833333333334	34462.91666666667	0.3645833333333334	0.5729166666666667	-0.5729166666666667	-0.625	30635.43154761905	0.4166666666666666	0.8779761904761905	0.05952380952380952	69760485.93749999	0	0	0	0	0	2542.1875	0	0	0	0	0	69761056.24999999	7.812499999999998	-18.75	0	0	7.812499999999998	69760298.43749999	-4.687499999999999	0	0	-18.75	-4.687499999999999	46203043.74999999	200
0	17.5	0	0	0	189013894844283.7	-0.02604166666666666	44656.77083333333	0.1041666666666667	-0.05208333333333333	-0.1041666666666667	-0.3125	40192.65625	0.6770833333333334	-0.2083333333333333	1.041666666666667	-0.2232142857142857	35726.41369047619	0.6398809523809523	-0.1636904761904762	1.205357142857143	69760890.62499999	0	0	0	0	0	2545.3125	0	0	0	0	0	69761685.93749999	-6.249999999999999	-9.374999999999998	0	0	-6.249999999999999	69760639.06249999	1.5625	0	0	-9.374999999999998	1.5625	46202798.43749999	200
0	20	0	0	0	189013894963893.2	0.07812499999999999	51036.69270833333	-0.02604166666666666	-0.05208333333333333	0	1.041666666666667	45936.97916666667	-0.2604166666666667	-0.15625	-0.8854166666666667	0.3571428571428572	40835.96726190476	0.4464285714285714	0.2678571428571428	0.5059523809523809	69761371.87499999	0	0	0	0	0	2560.9375	0	0	0	0	0	69762403.12499999	-7.812499999999998	-18.75	0	0	-7.812499999999998	69761051.56249999	1.5625	0	0	-18.75	1.5625	46202517.18749999	200
0	22.5	0	0	0	189013895099489.9	-0.02604166666666666	57446.53645833332	-0.07812499999999999	-0.07812499999999999	0	0.46875	51714.47916666667	0.4166666666666667	1.041666666666667	0.5729166666666667	0.119047619047619	45970.19345238095	-0.1785714285714286	-0.7142857142857143	0.04464285714285714	69761903.12499999	0	0	0	0	0	2568.75	0	0	0	0	0	69763212.49999999	7.812499999999998	-21.875	0	0	7.812499999999998	69761499.99999999	9.374999999999998	0	0	-21.875	9.374999999999998	46202192.18749999	200
