omega_{CB}	omega_1	omega_2	omega_{CP}	omega_S	Veff(v,T)	dVeff(v,T)_w0	dVeff(v,T)_w1	dVeff(v,T)_w2	dVeff(v,T)_w3	dVeff(v,T)_w4	dVeff(v,T)o6_w0	dVeff(v,T)o6_w1	dVeff(v,T)o6_w2	dVeff(v,T)o6_w3	dVeff(v,T)o6_w4	dVeff(v,T)o8_w0	dVeff(v,T)o8_w1	dVeff(v,T)o8_w2	dVeff(v,T)o8_w3	dVeff(v,T)o8_w4	d2Veff(v,T)_w0_w0	d2Veff(v,T)_w0_w1	d2Veff(v,T)_w0_w2	d2Veff(v,T)_w0_w3	d2Veff(v,T)_w0_w4	d2Veff(v,T)_w1_w0	d2Veff(v,T)_w1_w1	d2Veff(v,T)_w1_w2	d2Veff(v,T)_w1_w3	d2Veff(v,T)_w1_w4	d2Veff(v,T)_w2_w0	d2Veff(v,T)_w2_w1	d2Veff(v,T)_w2_w2	d2Veff(v,T)_w2_w3	d2Veff(v,T)_w2_w4	d2Veff(v,T)_w3_w0	d2Veff(v,T)_w3_w1	d2Veff(v,T)_w3_w2	d2Veff(v,T)_w3_w3	d2Veff(v,T)_w3_w4	d2Veff(v,T)_w4_w0	d2Veff(v,T)_w4_w1	d2Veff(v,T)_w4_w2	d2Veff(v,T)_w4_w3	d2Veff(v,T)_w4_w4	T
0	0	0	0	0	189052365252107	-0.05208333333333333	0	-0.05208333333333333	-0.05208333333333333	-0.02604166666666666	0.2604166666666667	0.78125	0.2604166666666667	0.2604166666666667	0.3645833333333334	-1.145833333333333	0.1785714285714286	-1.145833333333333	0.7440476190476191	-0.9523809523809523	69761571.87499999	0	0	0	0	0	-8587.499999999998	0	0	0	0	0	69761571.87499999	0	0	0	0	0	69761571.87499999	0	0	0	0	0	46205198.43749999	24
0	2.5	0	0	0	189052365225259.2	-0.02604166666666666	-21477.60416666666	0.07812499999999999	0.07812499999999999	0.02604166666666666	0.1041666666666667	-19334.16666666667	0.4166666666666667	-0.78125	0.625	-0.8184523809523809	-17185.53571428571	-0.6398809523809523	0.4017857142857142	-0.2678571428571428	69761610.93749999	0	0	0	0	0	-8592.187499999998	0	0	0	0	0	69761617.18749999	1.5625	3.125	0	0	1.5625	69761592.18749999	1.5625	0	0	3.125	1.5625	46205176.56249999	24
0	5	0	0	0	189052365144727.2	-0.02604166666666666	-42944.11458333333	0.05208333333333333	0.07812499999999999	-0.1041666666666667	-0.3645833333333334	-38649.73958333334	-0.8854166666666667	-0.15625	0.5208333333333334	-0.9821428571428571	-34355.43154761905	0.2678571428571428	-0.4761904761904762	-0.5654761904761905	69761714.06249999	0	0	0	0	0	-8578.124999999998	0	0	0	0	0	69761768.74999999	-4.687499999999999	-7.812499999999998	0	0	-4.687499999999999	69761682.81249999	0	0	0	-7.812499999999998	0	46205121.87499999	24
0	7.5	0	0	0	189052365010559.2	0.05208333333333333	-64383.46354166666	0.07812499999999999	-0.02604166666666666	-0.05208333333333333	-0.5729166666666667	-57936.71875	-0.9375	0.4166666666666667	-0.3125	1.041666666666667	-51498.40773809524	0.7886904761904762	-1.056547619047619	0.3571428571428572	69761870.31249999	0	0	0	0	0	-8566.406249999998	0	0	0	0	0	69762009.37499999	-6.249999999999999	12.5	0	0	-6.249999999999999	69761815.62499999	-6.249999999999999	0	0	12.5	-6.249999999999999	46205026.56249999	24
0	10	0	0	0	189052364822845.2	-0.05208333333333333	-85778.15104166666	0.02604166666666666	0.05208333333333333	-0.02604166666666666	0	-77200.78125	-0.6770833333333334	-0.46875	-0.3645833333333334	-0.5654761904761905	-68624.03273809524	-1.041666666666667	-0.8035714285714285	-0.5803571428571428	69762089.06249999	0	0	0	0	0	-8547.656249999998	0	0	0	0	0	69762343.74999999	-1.5625	-4.687499999999999	0	0	-1.5625	69762007.81249999	-9.374999999999998	0	0	-4.687499999999999	-9.374999999999998	46204890.62499999	24
0	12.5	0	0	0	189052364581716.8	0	-107112.34375	-0.02604166666666666	-0.07812499999999999	0.05208333333333333	-0.05208333333333334	-96401.04166666667	0.46875	-0.2604166666666667	-0.1041666666666667	1.220238095238095	-85691.45833333333	-1.19047619047619	-0.2976190476190476	0.2083333333333333	69762374.99999999	0	0	0	0	0	-8517.968749999998	0	0	0	0	0	69762785.93749999	-1.5625	-4.687499999999999	0	0	-1.5625	69762257.81249999	-6.249999999999999	0	0	-4.687499999999999	-6.249999999999999	46204715.62499999	24
0	15	0	0	0	189052364287346.9	0.02604166666666666	-128369.7916666666	0	0.07812499999999999	-0.02604166666666666	0.5729166666666667	-115532.34375	0.5729166666666667	0.8333333333333334	-0.4166666666666667	-0.1488095238095238	-102693.8541666667	-1.25	-0.1934523809523809	1.101190476190476	69762731.24999999	0	0	0	0	0	-8484.374999999998	0	0	0	0	0	69763317.18749999	4.687499999999999	-17.1875	0	0	4.687499999999999	69762559.37499999	-6.249999999999999	0	0	-17.1875	-6.249999999999999	46204503.12499999	24
0	17.5	0	0	0	189052363939949.9	0	-149531.0677083333	0.02604166666666666	0.05208333333333333	0	0.1041666666666667	-134583.0729166667	0.6770833333333334	-0.5729166666666667	0	0.5803571428571428	-119630.7589285714	0.5059523809523809	-0.6547619047619048	0.5654761904761905	69763142.18749999	0	0	0	0	0	-8445.312499999998	0	0	0	0	0	69763956.24999999	-3.125	-9.374999999999998	0	0	-3.125	69762907.81249999	1.5625	0	0	-9.374999999999998	1.5625	46204254.68749999	24
0	20	0	0	0	189052363539781	0	-170583.5677083333	0.07812499999999999	0	0.02604166666666666	0.46875	-153519.1666666667	-0.8854166666666667	-0.3125	0.3645833333333334	0.431547619047619	-136460.4166666667	0.3869047619047619	-0.625	0.9077380952380952	69763623.43749999	0	0	0	0	0	-8400.781249999998	0	0	0	0	0	69764678.12499999	-6.249999999999999	-17.1875	0	0	-6.249999999999999	69763323.43749999	4.687499999999999	0	0	-17.1875	4.687499999999999	46203974.99999999	24
0	22.5	0	0	0	189052363087136.3	-0.07812499999999999	-191510.2083333333	-0.1041666666666667	0.05208333333333333	0.02604166666666666	0.1041666666666667	-172353.8020833333	0.4166666666666667	-0.9375	-0.3645833333333334	-1.25	-153201.0565476191	-1.160714285714286	-0.04464285714285714	0.1785714285714286	69764168.74999999	0	0	0	0	0	-8341.406249999998	0	0	0	0	0	69765504.68749999	7.812499999999998	-23.4375	0	0	7.812499999999998	69763789.06249999	6.249999999999999	0	0	-23.4375	6.249999999999999	46203649.99999999	24
